管中陵,管中閔,管中徽,管中祥
獨角仙,松鼠,螢火蟲,兔子
拔河,標槍,鐵餅,撐竿跳
手球,擊劍,柔道,這三個都有喔
怎麼可能有！,當然有啦！就是姚期智本人,絕對沒有！,肯定沒有！
台電大樓,公館,科技大樓,大安
生技系,動科系,生科系,農化系
辜振甫,辜莞允,辜顯榮,辜娃娃
地震震壞了,本來放傅鐘,被收起來了,沒錢
中文,西班牙文,希伯來文,德文
資料分析與決策社,搖滾實驗室,鋼琴社,合唱團
一個動態整數陣列，可存五個整數,一個靜態整數陣列，可存五個整數,一個動態的整數指標陣列，可存五個指標,一個動態的字元陣列，可存四個字元
101,11,1001,111
生命科學,農業化學,森林,動物科學
新竹,雲林,南投,嘉義
Ceiba,Cool,Coursera,ntumail
萬才館,思亮館,嚴慶齡工業研究中心,積學館
黑色,白色,花色,沒有貓
報時,大家好,各位同學好,各位老師、同學好
外賓參訪時都在噴水池前留念,養魚,火災時作為消防池,調節氣溫
50,100,150,200
NTU VDI,NTU VID,NTU VDS,NTU VDA
New Platform,New Moon Building,New Moon Pavilion,New Sun Pavilion
校史館,農業陳列館,物理文物館,動物標本館
台福店,台大楓林店,台新店,台大二活店
20,21,22,23
韓國,比利時,日本,法國
台大創創學程,台大領導學程,NTU大學PLUS,以上皆是
2:2,2:3,3:2,3:3
清大校鐘,成大THE喪鐘,成大校鐘,師大自由之鐘
與非洲農業交流,與非洲半導體交流,曾經有非洲系，是非洲系館,紀念中非共和國的建交
公共衛生學院,電機學院,管理學院,社會科學院
鬼鬼崇崇,勃勃蓬蓬,鬱鬱蒼蒼,團團圓圓
28,29,27,30
托福83分以上,雅思6.5級以上,全民英檢中高級初複試通過,多益900分以上，沒有考，沒有考口說與寫作
Introduction,Selection and Reperirion,Operator Overloading,Complexity and Graph
Programming Design Online Grading System,cpP Design Online Grading System,Programming Design Online torturinG System,Python Design Online Grading System
0:15,0:26,0:37,0:48
8:32,8:53,9:24,9:39
0.25,0.48,0.94,1.68
大森政壽,小田好康,李登輝,?田勇之助
總圖有人聊天太吵,男六 2 樓某間寢室太吵,水源宿舍中庭太吵,管爺跟大家道早安
孫燕姿,王心凌,蔡依林,張韶涵
晚上 11 點,晚上 12 點,凌晨 3 點,凌晨 4 點
木頭,磚塊,水泥,鋼筋混凝土
為一有向圖,兩頂點間存在多條路徑,為沒有迴圈的連通圖,是綠色的
Shell sort,BOGO sort,Selection sort,Merge sort
必須使用動態記憶體配置,解決子問題以求解複雜問題,同樣的問題不要算第二遍,背包問題為一經典的例子
Greedy Algorithm,Kruskal's Algorithm,Dijkstra's Algorithm,Floyd-Warshall Algorithm
長興,水源,城中,總統府
星期一,星期二,星期三,星期四
挑戰組：5KM,適應組：1.7KM,AB皆對,10KM
共同教學館,新生教學館,普通教學館,綜合教學館
物理系,數學系,資工系,工科海
八八男,leo王,國蛋,熊仔
健身房,系館,農場,廁所
紀念張博雅,紀念苗博雅,全校師生命名,算命算出來的
4台,5台,6台,7台
台北真理堂,台北101,捷運科技大樓站,12mini捷運公館店
第一學生活動中心,第二學生活動中心,台大保健中心,台大卓聯商場
25,31,35,33
國立臺灣大學,台北帝國大學,國立台北大學,國立城市大學
三田定則,安田武昌,安藤政次,幣原坦
資管系,電機系,經濟系,農經系
地震工程研究中心,船舶技術研究中心,貴重儀器中心,製造自動化研究中心
游泳比賽,滑龍舟,天鵝船,浮潛
馬,羊,雞,豬
桃園,雲林,彰化,嘉義
管二 413,管一 419,管二 539,管一 630
適用於非單調函數,平均時間複雜度為log_3(n),實際執行時較三分搜尋法更快,每次搜尋完後可以刪除三分之二的選項
18:20,18:25,19:20,19:25
152,204,258,306
NTU台大學生交流版,NTU台大學生交流板,NTU臺大學生交流板,NTU臺大學生交流版
卓越研究大樓,新生教學館,綜合教學館,博雅教學館
9/20,9/21,9/22,9/23
2/14,2/15,2/16,2/17
情人節,小傑生日,台大開學日,AC皆是
GonFreecss,rrro,lckung,TheBigShow
UC_Berkeley,UCLA,UCSD,Harvard
商管程式設計,程式設計,作業研究,資料庫管理
150,385,1251,666
藝人不詳 - 2035坐動車去台灣,黃明志 - 玻璃心,曹蘭 - 中國香腸,郭靜 - 心牆
Basics of graph theory,pointer and pointer arthmetic,Kruskal Algorithm,self defined header files
高嘉瑜,江啟臣,吳斯懷,林為洲
吳亦凡,王力宏,鄧麗君,成龍
6,8,10,12
振興草坪,興雅草坪,總圖前草坪,星勢草坪
哲思館,仁雅館,洞洞館,敬羽館
總圖,醉月湖,生態池,校長官邸
Timmy,Tim,Frederick,Tommy
台北美術館,圓山大飯店,國父紀念館,台北市政府
美國,德國,日本,荷蘭
台大圖書館地下室,傅園,清大,成大
O(1),O(n),O(nlogn),O(n^2)
快速排序法(Quick Sort),堆積排序法(Heap Sort),插入排序法(Insertion Sort),三種混合使用
cout << i++ << endl;,cout << ++i << endl;,cout << ++i++ << endl;,cout << ++++i << endl;
Stack,Queue,Priority Queue,Linked List
黑鸛麻鷺,褐鸛麻鷺,黑面琵鷺,褐鸛鷺鷥
Inheritance and Polymorphism,Class,Cstring,Operator Overloading
110-2,111-1,111-2,112-1
NTU Center Operator Overload Lecture,NTU Ceiba Out OnLine,NTU COol OnLine  ,NTU COurse OnLine
鳳眼蓮,滿江紅,布袋蓮,水芙蓉
斑龜,巴西龜,鯉魚,綠蠵龜
南洋理工大學,台灣大學,南通大學,東南大學
Re:星期二開會,十五校聯展三籌相關訊息,新生盃女排賽第二輪賽程,校長盃第六週賽程
Von Neumann,Alan Turing,Charles Babbage,Claude Shannon
眼科,牙科,身心科,骨科
1450,1480,1490,1600
莫拉克,莫三比克,卡崔娜,白海豚
台大校門,臺大醫院舊館,福州街22號,1號館
李遠哲,白先勇,林佳龍,郭台銘
敦品勵學，愛國愛人,禮義廉恥，勤樸誠勇,知行合一，經世致用,求學問是，敢為人先
厚宅,AllPass,摩斯,春水堂
